# qa(deg) monoatomic diatomic_acoustic diatomic_optical
0   0.000 0.000 1.732
30  0.518 0.212 1.719
60  1.000 0.421 1.680
90  1.414 0.618 1.618
120 1.732 0.796 1.538
150 1.932 0.938 1.456
180 2.000 1.000 1.414
